2025-04-12 00:21:59.324 23399-23399 USNET                   pid-23399                            E  USNET: appName: com.erikedward.KoaLens
2025-04-12 00:21:59.349 23399-23399 Compatibil...geReporter com.erikedward.KoaLens               D  Compat change id reported: 171979766; UID 10666; state: ENABLED
---------------------------- PROCESS STARTED (23399) for package com.erikedward.KoaLens ----------------------------
2025-04-12 00:21:59.424 23399-23399 GraphicsEnvironment     com.erikedward.KoaLens               V  ANGLE Developer option for 'com.erikedward.KoaLens' set to: 'default'
2025-04-12 00:21:59.424 23399-23399 GraphicsEnvironment     com.erikedward.KoaLens               V  App is not on the allowlist for updatable production driver.
2025-04-12 00:21:59.426 23399-23399 LoadedApk               com.erikedward.KoaLens               D  LoadedApk::makeApplication() appContext.mOpPackageName=com.erikedward.KoaLens appContext.mBasePackageName=com.erikedward.KoaLens
2025-04-12 00:21:59.426 23399-23399 NetworkSecurityConfig   com.erikedward.KoaLens               D  No Network Security Config specified, using platform default
2025-04-12 00:21:59.429 23399-23399 NetworkSecurityConfig   com.erikedward.KoaLens               D  No Network Security Config specified, using platform default
2025-04-12 00:21:59.448 23399-23399 FirebaseApp             com.erikedward.KoaLens               I  Device unlocked: initializing all Firebase APIs for app [DEFAULT]
2025-04-12 00:21:59.453 23399-23399 FirebaseInitProvider    com.erikedward.KoaLens               I  FirebaseApp initialization successful
2025-04-12 00:21:59.453 23399-23399 ReactNativeFirebaseApp  com.erikedward.KoaLens               D  received application context.
2025-04-12 00:21:59.462 23399-23428 kedward.KoaLen          com.erikedward.KoaLens               W  ClassLoaderContext classpath size mismatch. expected=13, found=0 (DLC[];PCL[base.apk*2980366147:base.apk!classes2.dex*2587748780:base.apk!classes3.dex*2294829003:base.apk!classes4.dex*2026457370:base.apk!classes5.dex*631183356:base.apk!classes6.dex*3300721944:base.apk!classes7.dex*1676319332:base.apk!classes8.dex*1085292488:base.apk!classes9.dex*3880587820:base.apk!classes10.dex*1570031583:base.apk!classes11.dex*3211743428:base.apk!classes12.dex*3192364501:base.apk!classes13.dex*1145982731]{PCL[/system/framework/org.apache.http.legacy.jar*128607898]#PCL[/system/framework/com.android.media.remotedisplay.jar*3472798122]#PCL[/system/framework/com.android.location.provider.jar*3633238673]#PCL[/system/framework/org.apache.http.legacy.jar*128607898]} | DLC[];PCL[])
2025-04-12 00:21:59.468 23399-23428 DynamiteModule          com.erikedward.KoaLens               I  Considering local module com.google.android.gms.measurement.dynamite:141 and remote module com.google.android.gms.measurement.dynamite:142
2025-04-12 00:21:59.468 23399-23428 DynamiteModule          com.erikedward.KoaLens               I  Selected remote version of com.google.android.gms.measurement.dynamite, version >= 142
2025-04-12 00:21:59.468 23399-23428 DynamiteModule          com.erikedward.KoaLens               V  Dynamite loader version >= 2, using loadModule2NoCrashUtils
2025-04-12 00:21:59.471 23399-23399 ActivityThread          com.erikedward.KoaLens               D  handleBindApplication() --
2025-04-12 00:21:59.472 23399-23399 SoLoader                com.erikedward.KoaLens               W  Initializing SoLoader: 0
2025-04-12 00:21:59.472 23399-23399 SoLoader                com.erikedward.KoaLens               W  Recording new base apk path: /data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk
                                                                                                    Previously recorded 0 base apk paths.
2025-04-12 00:21:59.473 23399-23399 SoLoader                com.erikedward.KoaLens               I  Preparing SO source: DirectorySoSource[root = /vendor/lib64 flags = 2]
2025-04-12 00:21:59.473 23399-23399 SoLoader                com.erikedward.KoaLens               I  Preparing SO source: DirectorySoSource[root = /system/lib64 flags = 2]
2025-04-12 00:21:59.473 23399-23399 SoLoader                com.erikedward.KoaLens               I  Preparing SO source: DirectApkSoSource[root = [/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk!/lib/arm64-v8a]]
2025-04-12 00:21:59.475 23399-23428 System                  com.erikedward.KoaLens               W  ClassLoader referenced unknown path: 
2025-04-12 00:21:59.487 23399-23428 kedward.KoaLen          com.erikedward.KoaLens               W  ClassLoaderContext classpath size mismatch. expected=13, found=5 (DLC[];PCL[base.apk*2980366147:base.apk!classes2.dex*2587748780:base.apk!classes3.dex*2294829003:base.apk!classes4.dex*2026457370:base.apk!classes5.dex*631183356:base.apk!classes6.dex*3300721944:base.apk!classes7.dex*1676319332:base.apk!classes8.dex*1085292488:base.apk!classes9.dex*3880587820:base.apk!classes10.dex*1570031583:base.apk!classes11.dex*3211743428:base.apk!classes12.dex*3192364501:base.apk!classes13.dex*1145982731]{PCL[/system/framework/org.apache.http.legacy.jar*128607898]#PCL[/system/framework/com.android.media.remotedisplay.jar*3472798122]#PCL[/system/framework/com.android.location.provider.jar*3633238673]#PCL[/system/framework/org.apache.http.legacy.jar*128607898]} | DLC[];PCL[/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk*2373626119:/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk!classes2.dex*1321219090:/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk!classes3.dex*3912993664:/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk!classes4.dex*222082758:/data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/base.apk!classes5.dex*2807414105]{PCL[/system/framework/sec_camerax_impl.jar*818184618]})
2025-04-12 00:21:59.488 23399-23399 SoLoader                com.erikedward.KoaLens               I  Preparing SO source: ApplicationSoSource[DirectorySoSource[root = /data/app/~~kmV4Ci0xsQjftRXk49R7AQ==/com.erikedward.KoaLens-2uzsv-7Pl6gbmIx_raKCIw==/lib/arm64 flags = 0]]
2025-04-12 00:21:59.488 23399-23399 SoLoader                com.erikedward.KoaLens               I  init finish: 4 SO sources prepared
2025-04-12 00:21:59.488 23399-23399 SoLoader                com.erikedward.KoaLens               W  SoLoader initialized: 8
2025-04-12 00:21:59.499 23399-23433 OpenGLRenderer          com.erikedward.KoaLens               D  RenderThread::requireGlContext()
2025-04-12 00:21:59.505 23399-23433 libEGL                  com.erikedward.KoaLens               I  EGL_ANDROID_blob_cache_path advertised, but unable to get eglSetBlobCachePathANDROID
2025-04-12 00:21:59.511 23399-23399 AppCompatDelegate       com.erikedward.KoaLens               D  Checking for metadata for AppLocalesMetadataHolderService : Service not found
2025-04-12 00:21:59.513 23399-23433 OpenGLRenderer          com.erikedward.KoaLens               D  RenderThread::setGrContext()
2025-04-12 00:21:59.522 23399-23399 DecorView               com.erikedward.KoaLens               I  [INFO] isPopOver=false, config=true
2025-04-12 00:21:59.522 23399-23399 DecorView               com.erikedward.KoaLens               I  updateCaptionType >> DecorView@c0978fd[], isFloating=false, isApplication=true, hasWindowControllerCallback=true, hasWindowDecorCaption=false
2025-04-12 00:21:59.522 23399-23399 DecorView               com.erikedward.KoaLens               D  setCaptionType = 0, this = DecorView@c0978fd[]
2025-04-12 00:21:59.523 23399-23399 DecorView               com.erikedward.KoaLens               I  getCurrentDensityDpi: from real metrics. densityDpi=420 msg=resources_loaded
2025-04-12 00:21:59.534 23399-23452 kedward.KoaLen          com.erikedward.KoaLens               E  No package ID 76 found for ID 0x760b000f.
2025-04-12 00:21:59.534 23399-23452 kedward.KoaLen          com.erikedward.KoaLens               E  No package ID 76 found for ID 0x760b000f.
2025-04-12 00:21:59.535 23399-23452 FA                      com.erikedward.KoaLens               I  App measurement initialized, version: 120000
2025-04-12 00:21:59.535 23399-23452 FA                      com.erikedward.KoaLens               I  To enable debug logging run: adb shell setprop log.tag.FA VERBOSE
2025-04-12 00:21:59.535 23399-23452 FA                      com.erikedward.KoaLens               I  To enable faster debug mode event logging run:
                                                                                                      adb shell setprop debug.firebase.analytics.app com.erikedward.KoaLens
2025-04-12 00:21:59.557 23399-23399 ViewRootIm...nActivity] com.erikedward.KoaLens               I  setView = com.android.internal.policy.DecorView@c0978fd TM=true
2025-04-12 00:21:59.568 23399-23399 ViewRootIm...nActivity] com.erikedward.KoaLens               I  Relayout returned: old=(0,0,1080,2280) new=(0,0,1080,2280) req=(1080,2280)0 dur=5 res=0x7 s={true 508490481008} ch=true fn=-1
2025-04-12 00:21:59.569 23399-23399 ViewRootIm...nActivity] com.erikedward.KoaLens               I  [DP] dp(1) 1 android.view.ViewRootImpl.reportNextDraw:11374 android.view.ViewRootImpl.performTraversals:4167 android.view.ViewRootImpl.doTraversal:2893 
2025-04-12 00:21:59.571 23399-23433 hw-ProcessState         com.erikedward.KoaLens               D  Binder ioctl to enable oneway spam detection failed: Invalid argument
2025-04-12 00:21:59.572 23399-23433 OpenGLRenderer          com.erikedward.KoaLens               D  eglCreateWindowSurface
2025-04-12 00:21:59.574 23399-23474 Gralloc4                com.erikedward.KoaLens               I  mapper 4.x is not supported
2025-04-12 00:21:59.575 23399-23452 FA                      com.erikedward.KoaLens               I  Tag Manager is not found and thus will not be used
2025-04-12 00:21:59.576 23399-23474 Gralloc3                com.erikedward.KoaLens               W  mapper 3.x is not supported
2025-04-12 00:21:59.581 23399-23474 gralloc                 com.erikedward.KoaLens               I  Arm Module v1.0
2025-04-12 00:21:59.583 23399-23474 Gralloc4                com.erikedward.KoaLens               W  allocator 4.x is not supported
2025-04-12 00:21:59.583 23399-23474 Gralloc3                com.erikedward.KoaLens               W  allocator 3.x is not supported
2025-04-12 00:21:59.594 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119594,"message":"embeddedAssetFileMap: embeddedAssets count = 98","code":"None","level":"info"}
2025-04-12 00:21:59.594 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119594,"message":"embeddedAssetFileMap: 778ffc9fe8773a878e9c30a6304784de,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/778ffc9fe8773a878e9c30a6304784de.png","code":"None","level":"info"}
2025-04-12 00:21:59.595 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119595,"message":"embeddedAssetFileMap: c79c3606a1cf168006ad3979763c7e0c,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/c79c3606a1cf168006ad3979763c7e0c.png","code":"None","level":"info"}
2025-04-12 00:21:59.595 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119595,"message":"embeddedAssetFileMap: 02bc1fa7c0313217bde2d65ccbff40c9,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/02bc1fa7c0313217bde2d65ccbff40c9.png","code":"None","level":"info"}
2025-04-12 00:21:59.595 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119595,"message":"embeddedAssetFileMap: 35ba0eaec5a4f5ed12ca16fabeae451d,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/35ba0eaec5a4f5ed12ca16fabeae451d.png","code":"None","level":"info"}
2025-04-12 00:21:59.595 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119595,"message":"embeddedAssetFileMap: 0a328cd9c1afd0afe8e3b1ec5165b1b4,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/0a328cd9c1afd0afe8e3b1ec5165b1b4.png","code":"None","level":"info"}
2025-04-12 00:21:59.596 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119596,"message":"embeddedAssetFileMap: 3cd68ccdb8938e3711da2e8831b85493,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/3cd68ccdb8938e3711da2e8831b85493.png","code":"None","level":"info"}
2025-04-12 00:21:59.596 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119596,"message":"embeddedAssetFileMap: 61ca7e64b7d605716c57706cef640b9a,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/61ca7e64b7d605716c57706cef640b9a.png","code":"None","level":"info"}
2025-04-12 00:21:59.596 23399-23469 dev.expo.updates        com.erikedward.KoaLens               I  {"timestamp":1744410119596,"message":"embeddedAssetFileMap: aff2c65b39a296d4f7e96d0f58169170,png => file:\/\/\/data\/user\/0\/com.erikedward.KoaLens\/files\/.expo-internal\/aff2c65b39a296d4f7e96d0f58169170.png","code":"None","level":"info"}
